car_name,reviews_count,fuel_type,engine_displacement,no_cylinder,seating_capacity,transmission_type,fuel_tank_capacity,body_type,rating,starting_price,ending_price,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp
Skoda Slavia,52,Petrol,1498,4,5,Automatic,45,Sedan,4.5,1099000,1839000,250,3500,147.52,6000
Volkswagen Taigun,68,Petrol,1498,4,5,Automatic,50,SUV,4.5,1140000,1860000,250,3500,147.51,6000
Kia Seltos,2171,Diesel,1493,4,5,Automatic,50,SUV,4.5,1049000,1865000,250,2750,113.43,4000
Skoda Kushaq,172,Petrol,1498,4,5,Automatic,50,SUV,4.5,1129000,1949000,250,3500,147.51,6000
Mercedes-Benz AMG A 35,21,Petrol,1991,4,5,Automatic,51,Sedan,4.5,1989000,1989000,400,4000,301.73,5800
MG Hector,200,Diesel,1956,4,5,Manual,60,SUV,4,1415000,2011000,350,2500,167.68,3750
Hyundai Alcazar,207,Diesel,1493,4,7,Automatic,50,SUV,4,1589000,2025000,250,2750,113.42,4000
Jeep Meridian,78,Diesel,1956,4,7,Automatic,60,SUV,4.5,1615000,2075000,350,2500,167.67,3750
MG Hector Plus,2,Diesel,1956,4,7,Manual,60,SUV,4.5,1615000,2075000,350,2500,167.67,3750
Tata Harrier,2392,Diesel,1956,4,5,Automatic,50,SUV,4.5,1470000,2220000,350,2500,167.67,3750
Mahindra Scorpio-N,107,Diesel,2198,4,7,Automatic,57,SUV,4.5,1199000,2390000,400,2750,172.45,3500
Hyundai Kona Electric,40,Electric,0,0,5,Electric,0,SUV,4.5,2384000,2403000,395,0,134.1,0
Mahindra XUV700,313,Diesel,2198,4,7,Automatic,60,SUV,4.5,1318000,2458000,450,2800,182.38,3500
MG ZS EV,14,Electric,0,0,5,Electric,0,SUV,4.5,2200000,2588000,280,0,173.83,0
Toyota Innova Crysta,91,Diesel,2393,4,8,Automatic,55,MUV,4.5,1786000,2654000,360,2600,148,3400
Isuzu D-Max,8,Diesel,1898,4,5,Automatic,0,SUV,4.5,1300000,2700000,360,2500,160.92,3600
BYD E6,6,Electric,0,0,5,Electric,0,MUV,4.5,2915000,2915000,180,0,93.87,0
Skoda Octavia,20,Petrol,1984,4,5,Automatic,50,Sedan,4.5,2685000,2985000,320,3990,187.74,6000
Mercedes-Benz GLC Coupe,5,Diesel,1950,4,5,Automatic,66,Coupe,5,3132000,3132000,500,2400,241.38,4200
Mahindra Alturas G4,122,Diesel,2157,4,7,Automatic,70,SUV,4.5,3188000,3188000,420,2600,178.49,3800
Volkswagen Tiguan,5,Petrol,1984,4,5,Automatic,60,SUV,4.5,3279000,3280000,320,4100,187.74,6000
Citroen C5 Aircross,44,Diesel,1997,4,5,Automatic,52.5,SUV,4,3224000,3378000,400,2000,174.33,3750
