Fecha,Usuarios,Sesiones,Porcentaje de rebote,Páginas/sesión,Duración media de la sesión,Tasa de conversión de comercio electrónico,Transacciones,CTR de la lista de productos,Número de sesiones por usuario
20211108,2.99,3.402,"42,86 %","5,25",00:03:33,"3,00 %",102,"0,00 %","1,14"
20211117,2.99,3.344,"44,80 %","5,02",00:03:29,"3,32 %",111,"0,00 %","1,12"
20211202,2.984,3.36,"43,39 %","5,48",00:03:40,"3,15 %",106,"0,00 %","1,13"
20221006,2.984,3.352,"44,21 %","4,83",00:03:17,"1,91 %",64,"0,00 %","1,12"
20211109,2.978,3.328,"42,16 %","5,31",00:03:42,"3,52 %",117,"0,00 %","1,12"
20211005,2.973,3.306,"45,55 %","4,83",00:03:17,"2,09 %",69,"0,00 %","1,11"
20220516,2.97,3.329,"49,02 %","4,68",00:02:58,"2,37 %",79,"0,00 %","1,12"
20211118,2.969,3.311,"43,70 %","5,81",00:03:47,"3,96 %",131,"0,00 %","1,12"
20220208,2.968,3.303,"50,62 %","4,46",00:03:20,"2,42 %",80,"0,00 %","1,11"
20220726,2.961,3.312,"40,76 %","5,46",00:03:42,"2,48 %",82,"0,00 %","1,12"
20220606,2.957,3.319,"44,38 %","5,06",00:03:04,"2,62 %",87,"0,00 %","1,12"
20220601,2.954,3.283,"46,12 %","4,71",00:02:59,"1,98 %",65,"0,00 %","1,11"
20211215,2.953,3.374,"40,25 %","6,60",00:04:31,"5,66 %",191,"0,00 %","1,14"
20211006,2.947,3.287,"44,02 %","5,22",00:03:39,"2,53 %",83,"0,00 %","1,12"
20220523,2.942,3.366,"47,65 %","4,55",00:03:03,"1,84 %",62,"0,00 %","1,14"
20220413,2.92,3.225,"45,61 %","4,73",00:03:14,"2,17 %",70,"0,00 %","1,10"
20211007,2.912,3.285,"44,02 %","5,32",00:03:36,"3,26 %",107,"0,00 %","1,13"
20220616,2.912,3.27,"43,33 %","5,43",00:03:23,"0,00 %",0,"0,00 %","1,12"
20220125,2.904,3.174,"45,31 %","5,21",00:03:10,"2,36 %",75,"0,00 %","1,09"
20220509,2.899,3.293,"46,37 %","4,85",00:03:09,"2,25 %",74,"0,00 %","1,14"
20220809,2.899,3.221,"38,68 %","5,74",00:03:31,"3,17 %",102,"0,00 %","1,11"
20220210,2.897,3.247,"48,32 %","4,36",00:03:13,"2,19 %",71,"0,00 %","1,12"
20220127,2.882,3.165,"46,64 %","4,64",00:03:05,"2,18 %",69,"0,00 %","1,10"
20211111,2.881,3.192,"44,74 %","5,10",00:03:26,"3,38 %",108,"0,00 %","1,11"
20220621,2.88,3.204,"46,04 %","4,95",00:03:17,"2,65 %",85,"0,00 %","1,11"
20220504,2.878,3.227,"46,14 %","4,78",00:03:28,"2,82 %",91,"0,00 %","1,12"
20220414,2.876,3.194,"45,34 %","5,13",00:03:23,"2,32 %",74,"0,00 %","1,11"
20220623,2.876,3.222,"43,08 %","5,05",00:03:18,"2,20 %",71,"0,00 %","1,12"
20220614,2.873,3.194,"43,64 %","5,51",00:03:39,"0,00 %",0,"0,00 %","1,11"
20220721,2.867,3.208,"40,37 %","5,38",00:03:45,"2,12 %",68,"0,00 %","1,12"
20220503,2.866,3.225,"45,05 %","4,82",00:03:15,"2,42 %",78,"0,00 %","1,13"
20220531,2.865,3.194,"45,96 %","4,77",00:03:04,"2,25 %",72,"0,00 %","1,11"
20220602,2.865,3.171,"45,16 %","4,91",00:03:01,"2,18 %",69,"0,00 %","1,11"
20221025,2.862,3.197,"43,79 %","4,71",00:03:20,"1,94 %",62,"0,00 %","1,12"
20211025,2.858,3.176,"45,28 %","5,20",00:03:14,"3,02 %",96,"0,00 %","1,11"
20220323,2.848,3.209,"46,34 %","4,61",00:03:30,"2,59 %",83,"0,00 %","1,13"
20220622,2.845,3.196,"42,99 %","5,37",00:03:28,"3,00 %",96,"0,00 %","1,12"
20220202,2.844,3.123,"47,58 %","4,66",00:03:06,"2,43 %",76,"0,00 %","1,10"
20220613,2.842,3.197,"45,39 %","5,75",00:03:38,"2,63 %",84,"0,00 %","1,12"
20211123,2.839,3.202,"44,50 %","6,28",00:04:04,"4,12 %",132,"0,00 %","1,13"
20220920,2.838,3.134,"43,43 %","5,05",00:03:23,"2,17 %",68,"0,00 %","1,10"
20221011,2.832,3.187,"40,79 %","4,86",00:03:37,"1,73 %",55,"0,00 %","1,13"
20220628,2.831,3.186,"44,01 %","5,35",00:03:28,"4,77 %",152,"0,00 %","1,13"
20220418,2.829,3.143,"46,58 %","4,96",00:03:14,"2,45 %",77,"0,00 %","1,11"
20220309,2.824,3.222,"46,31 %","4,35",00:03:17,"2,48 %",80,"0,00 %","1,14"
20220518,2.824,3.21,"46,48 %","4,60",00:03:06,"2,06 %",66,"0,00 %","1,14"
20220120,2.821,3.118,"48,46 %","4,88",00:03:12,"2,47 %",77,"0,00 %","1,11"
20220810,2.82,3.147,"39,12 %","5,85",00:03:36,"4,13 %",130,"0,00 %","1,12"
20221020,2.815,3.101,"41,70 %","5,26",00:03:21,"2,19 %",68,"0,00 %","1,10"
20211110,2.811,3.161,"45,21 %","5,28",00:03:32,"3,42 %",108,"0,00 %","1,12"
20221004,2.809,3.086,"43,68 %","5,01",00:03:24,"2,14 %",66,"0,00 %","1,10"
20221026,2.802,3.128,"43,09 %","4,91",00:03:41,"1,95 %",61,"0,00 %","1,12"
20220728,2.791,3.126,"40,12 %","5,32",00:03:28,"2,46 %",77,"0,00 %","1,12"
20221018,2.791,3.115,"39,78 %","5,47",00:03:55,"2,31 %",72,"0,00 %","1,12"
20220215,2.789,3.06,"47,16 %","4,89",00:03:21,"2,88 %",88,"0,00 %","1,10"
20211027,2.787,3.105,"44,32 %","4,92",00:03:34,"2,77 %",86,"0,00 %","1,11"
20220706,2.785,3.097,"47,30 %","4,94",00:03:11,"2,87 %",89,"0,00 %","1,11"
20211115,2.784,3.141,"44,67 %","5,04",00:03:41,"3,09 %",97,"0,00 %","1,13"
20220627,2.78,3.089,"43,87 %","5,25",00:03:24,"2,69 %",83,"0,00 %","1,11"
20220823,2.779,3.152,"39,44 %","5,36",00:03:43,"2,98 %",94,"0,00 %","1,13"
20220818,2.776,3.049,"43,26 %","5,23",00:03:24,"3,05 %",93,"0,00 %","1,10"
20211028,2.772,3.054,"46,07 %","5,19",00:03:21,"3,27 %",100,"0,00 %","1,10"
20211124,2.768,3.082,"47,83 %","5,19",00:03:35,"3,31 %",102,"0,00 %","1,11"
20220217,2.761,3.005,"45,29 %","4,67",00:03:15,"2,56 %",77,"0,00 %","1,09"
20220404,2.76,3.079,"45,11 %","5,24",00:03:48,"2,21 %",68,"0,00 %","1,12"
20220725,2.757,3.057,"43,67 %","5,10",00:03:17,"2,78 %",85,"0,00 %","1,11"
