Fecha,Usuarios,Sesiones,Porcentaje de rebote,Páginas/sesión,Duración media de la sesión,Tasa de conversión de comercio electrónico,Transacciones,CTR de la lista de productos,Número de sesiones por usuario
20220304,2.031,2.229,"44,77 %","4,70",00:03:22,"3,14 %",70,"0,00 %","1,10"
20211217,2.02,2.218,"47,93 %","5,43",00:03:19,"4,51 %",100,"0,00 %","1,10"
20211212,2.019,2.211,"49,07 %","5,16",00:03:05,"3,03 %",67,"0,00 %","1,10"
20211211,1.993,2.202,"50,36 %","4,78",00:03:02,"3,09 %",68,"0,00 %","1,10"
20220508,1.993,2.225,"54,65 %","4,03",00:02:52,"1,30 %",29,"0,00 %","1,12"
20220107,1.98,2.167,"49,24 %","4,88",00:03:04,"2,77 %",60,"0,00 %","1,09"
20220117,1.98,2.191,"52,49 %","3,78",00:02:33,"0,87 %",19,"0,00 %","1,11"
20220902,1.975,2.173,"41,74 %","5,45",00:03:31,"3,73 %",81,"0,00 %","1,10"
20220221,1.953,2.129,"52,09 %","3,93",00:02:43,"1,93 %",41,"0,00 %","1,09"
20220522,1.945,2.124,"53,67 %","3,98",00:02:29,"0,99 %",21,"0,00 %","1,09"
20211228,1.924,2.114,"44,23 %","5,56",00:03:35,"2,79 %",59,"0,00 %","1,10"
20211022,1.914,2.12,"50,71 %","4,71",00:03:26,"2,50 %",53,"0,00 %","1,11"
20211223,1.914,2.076,"44,89 %","5,53",00:03:19,"3,03 %",63,"0,00 %","1,08"
20211128,1.872,2.028,"54,29 %","4,19",00:02:50,"2,96 %",60,"0,00 %","1,08"
20220424,1.859,2.009,"52,86 %","4,24",00:02:42,"1,29 %",26,"0,00 %","1,08"
20211121,1.856,2.041,"54,78 %","4,54",00:03:02,"2,11 %",43,"0,00 %","1,10"
20211229,1.848,2.056,"44,94 %","5,09",00:03:17,"2,29 %",47,"0,00 %","1,11"
20220311,1.847,2.06,"51,02 %","4,31",00:03:15,"1,94 %",40,"0,00 %","1,12"
20220521,1.825,2.027,"57,13 %","3,85",00:02:28,"1,33 %",27,"0,00 %","1,11"
20220905,1.823,1.967,"50,69 %","3,94",00:02:30,"1,07 %",21,"0,00 %","1,08"
20220703,1.807,1.97,"53,25 %","4,19",00:02:51,"1,02 %",20,"0,00 %","1,09"
20220206,1.794,1.963,"53,85 %","4,10",00:02:53,"1,32 %",26,"0,00 %","1,09"
20211107,1.791,1.986,"48,64 %","5,00",00:03:32,"2,01 %",40,"0,00 %","1,11"
20220327,1.754,1.929,"51,11 %","4,60",00:03:00,"1,81 %",35,"0,00 %","1,10"
20220529,1.751,1.91,"53,98 %","4,16",00:02:34,"1,57 %",30,"0,00 %","1,09"
20211114,1.749,1.932,"52,69 %","4,51",00:03:05,"1,60 %",31,"0,00 %","1,10"
20220213,1.749,1.949,"55,00 %","3,79",00:02:41,"1,23 %",24,"0,00 %","1,11"
20211127,1.716,1.836,"56,97 %","4,35",00:02:32,"2,40 %",44,"0,00 %","1,07"
20220619,1.716,1.889,"52,04 %","4,38",00:02:50,"0,00 %",0,"0,00 %","1,10"
20211120,1.714,1.863,"53,57 %","4,03",00:02:44,"1,83 %",34,"0,00 %","1,09"
20220702,1.711,1.858,"51,45 %","4,21",00:02:40,"1,13 %",21,"0,00 %","1,09"
20220605,1.71,1.888,"52,86 %","4,52",00:02:53,"1,69 %",32,"0,00 %","1,10"
20220724,1.71,1.846,"48,10 %","4,64",00:03:10,"1,73 %",32,"0,00 %","1,08"
20220430,1.696,1.871,"50,45 %","4,08",00:02:53,"1,28 %",24,"0,00 %","1,10"
20220416,1.684,1.856,"52,05 %","4,62",00:02:54,"1,67 %",31,"0,00 %","1,10"
20221016,1.683,1.873,"48,75 %","4,43",00:03:20,"1,55 %",29,"0,00 %","1,11"
20220612,1.675,1.851,"48,73 %","4,75",00:02:56,"1,78 %",33,"0,00 %","1,11"
20220604,1.67,1.846,"53,30 %","4,71",00:03:00,"1,79 %",33,"0,00 %","1,11"
20220626,1.658,1.838,"52,23 %","4,30",00:02:56,"1,63 %",30,"0,00 %","1,11"
20220123,1.641,1.785,"57,31 %","3,64",00:02:20,"1,06 %",19,"0,00 %","1,09"
20211113,1.639,1.799,"54,92 %","4,31",00:02:53,"3,34 %",60,"0,00 %","1,10"
20220205,1.636,1.79,"54,58 %","3,89",00:02:22,"1,51 %",27,"0,00 %","1,09"
20220528,1.632,1.777,"53,29 %","3,91",00:02:32,"1,13 %",20,"0,00 %","1,09"
20220717,1.631,1.816,"47,74 %","4,66",00:03:12,"1,60 %",29,"0,00 %","1,11"
20220710,1.62,1.738,"51,21 %","4,23",00:02:44,"1,96 %",34,"0,00 %","1,07"
20220129,1.616,1.761,"54,68 %","3,95",00:02:31,"1,70 %",30,"0,00 %","1,09"
20220423,1.615,1.771,"51,72 %","4,46",00:02:38,"1,13 %",20,"0,00 %","1,10"
20211219,1.614,1.746,"46,79 %","5,35",00:03:30,"3,15 %",55,"0,00 %","1,08"
20220109,1.609,1.758,"54,32 %","3,97",00:02:26,"1,25 %",22,"0,00 %","1,09"
20220807,1.592,1.718,"48,89 %","4,90",00:03:04,"1,40 %",24,"0,00 %","1,08"
20220130,1.586,1.749,"51,34 %","4,27",00:02:53,"1,14 %",20,"0,00 %","1,10"
20220611,1.585,1.736,"52,53 %","4,80",00:03:05,"1,44 %",25,"0,00 %","1,10"
20220501,1.584,1.742,"52,18 %","4,88",00:02:47,"1,55 %",27,"0,00 %","1,10"
20211218,1.569,1.704,"48,83 %","4,66",00:02:37,"2,52 %",43,"0,00 %","1,09"
20220103,1.568,1.711,"50,38 %","4,32",00:03:00,"1,93 %",33,"0,00 %","1,09"
20220731,1.565,1.722,"49,07 %","4,98",00:03:14,"1,68 %",29,"0,00 %","1,10"
20220403,1.564,1.732,"50,17 %","4,44",00:03:03,"1,33 %",23,"0,00 %","1,11"
20220417,1.558,1.697,"54,10 %","4,24",00:02:39,"1,83 %",31,"0,00 %","1,09"
20211230,1.553,1.661,"43,35 %","4,93",00:02:53,"1,75 %",29,"0,00 %","1,07"
20221009,1.552,1.708,"49,30 %","4,52",00:03:02,"1,76 %",30,"0,00 %","1,10"
20220625,1.551,1.707,"51,90 %","4,44",00:02:50,"1,23 %",21,"0,00 %","1,10"
20220618,1.543,1.684,"52,32 %","4,44",00:02:44,"0,00 %",0,"0,00 %","1,09"
20220212,1.54,1.707,"57,35 %","3,81",00:02:29,"1,41 %",24,"0,00 %","1,11"
20220122,1.535,1.685,"52,34 %","3,79",00:02:27,"0,89 %",15,"0,00 %","1,10"
20220305,1.533,1.711,"50,20 %","4,08",00:03:10,"2,10 %",36,"0,00 %","1,12"
20220320,1.532,1.678,"51,67 %","4,39",00:02:50,"1,85 %",31,"0,00 %","1,10"
20220716,1.52,1.65,"50,24 %","4,44",00:02:51,"2,06 %",34,"0,00 %","1,09"
20220918,1.519,1.682,"48,51 %","4,49",00:02:59,"2,26 %",38,"0,00 %","1,11"
20211106,1.514,1.664,"51,56 %","4,28",00:02:44,"1,56 %",26,"0,00 %","1,10"
20221015,1.513,1.699,"49,74 %","4,31",00:03:02,"1,47 %",25,"0,00 %","1,12"
20221008,1.511,1.621,"46,88 %","4,58",00:03:04,"1,36 %",22,"0,00 %","1,07"
20220925,1.501,1.657,"46,53 %","5,18",00:03:46,"1,51 %",25,"0,00 %","1,10"
20211227,1.5,1.627,"48,99 %","4,51",00:02:46,"2,21 %",36,"0,00 %","1,08"
20211003,1.499,1.619,"49,91 %","4,38",00:03:02,"1,79 %",29,"0,00 %","1,08"
20220306,1.494,1.687,"48,55 %","4,92",00:03:39,"1,42 %",24,"0,00 %","1,13"
20221002,1.494,1.624,"48,40 %","4,59",00:03:14,"1,91 %",31,"0,00 %","1,09"
20221030,1.494,1.665,"47,69 %","4,72",00:03:04,"1,86 %",31,"0,00 %","1,11"
20211024,1.492,1.625,"49,11 %","4,73",00:03:08,"1,97 %",32,"0,00 %","1,09"
20220723,1.492,1.656,"50,12 %","4,22",00:02:37,"1,09 %",18,"0,00 %","1,11"
20220115,1.486,1.64,"52,80 %","4,14",00:02:53,"1,34 %",22,"0,00 %","1,10"
20220821,1.485,1.619,"48,92 %","4,57",00:02:56,"1,67 %",27,"0,00 %","1,09"
20220709,1.484,1.624,"49,94 %","4,36",00:02:48,"1,42 %",23,"0,00 %","1,09"
20220319,1.482,1.625,"48,74 %","4,50",00:03:19,"1,29 %",21,"0,00 %","1,10"
20211002,1.48,1.576,"53,49 %","3,92",00:02:22,"1,14 %",18,"0,00 %","1,06"
20220326,1.479,1.626,"48,77 %","4,73",00:03:14,"1,48 %",24,"0,00 %","1,10"
20211010,1.475,1.605,"50,59 %","4,69",00:02:52,"2,37 %",38,"0,00 %","1,09"
20211017,1.474,1.626,"53,20 %","4,38",00:03:07,"1,72 %",28,"0,00 %","1,10"
20220108,1.464,1.587,"52,74 %","4,02",00:02:33,"0,82 %",13,"0,00 %","1,08"
20221023,1.457,1.609,"47,48 %","4,81",00:03:16,"1,49 %",24,"0,00 %","1,10"
20211016,1.448,1.646,"50,79 %","4,29",00:03:26,"1,03 %",17,"0,00 %","1,14"
20221001,1.445,1.573,"49,65 %","4,81",00:03:17,"1,53 %",24,"0,00 %","1,09"
20220116,1.444,1.565,"52,91 %","4,25",00:02:32,"1,15 %",18,"0,00 %","1,08"
20220227,1.444,1.602,"51,69 %","4,66",00:03:08,"3,93 %",63,"0,00 %","1,11"
20220814,1.441,1.586,"48,68 %","4,54",00:02:48,"1,13 %",18,"0,00 %","1,10"
20211023,1.431,1.562,"49,68 %","4,06",00:02:28,"1,47 %",23,"0,00 %","1,09"
20220313,1.426,1.58,"49,49 %","4,48",00:02:58,"2,09 %",33,"0,00 %","1,11"
20220730,1.421,1.565,"48,50 %","4,83",00:03:09,"1,92 %",30,"0,00 %","1,10"
20220226,1.416,1.552,"52,58 %","3,79",00:02:37,"1,42 %",22,"0,00 %","1,10"
20220402,1.416,1.558,"51,16 %","4,53",00:03:09,"1,48 %",23,"0,00 %","1,10"
20220924,1.416,1.561,"46,89 %","4,70",00:03:09,"1,54 %",24,"0,00 %","1,10"
20220806,1.399,1.541,"47,70 %","5,07",00:03:06,"1,75 %",27,"0,00 %","1,10"
20211031,1.398,1.526,"51,77 %","4,18",00:02:54,"2,03 %",31,"0,00 %","1,09"
20220828,1.396,1.529,"47,68 %","5,01",00:03:15,"1,96 %",30,"0,00 %","1,10"
20220220,1.393,1.533,"53,95 %","4,42",00:02:51,"1,70 %",26,"0,00 %","1,10"
20211030,1.375,1.534,"53,32 %","4,04",00:02:44,"1,37 %",21,"0,00 %","1,12"
20220219,1.363,1.488,"54,30 %","3,82",00:02:13,"1,68 %",25,"0,00 %","1,09"
20211009,1.36,1.501,"50,70 %","4,04",00:03:22,"1,67 %",25,"0,00 %","1,10"
20220827,1.345,1.467,"49,56 %","4,37",00:02:30,"2,32 %",34,"0,00 %","1,09"
20220813,1.331,1.454,"53,51 %","4,39",00:02:52,"1,72 %",25,"0,00 %","1,09"
20221029,1.315,1.466,"46,11 %","4,33",00:03:16,"1,71 %",25,"0,00 %","1,11"
20211226,1.313,1.414,"51,70 %","4,57",00:02:39,"2,26 %",32,"0,00 %","1,08"
20220102,1.303,1.408,"52,77 %","3,94",00:02:30,"1,07 %",15,"0,00 %","1,08"
20220911,1.302,1.437,"47,95 %","4,84",00:03:19,"1,74 %",25,"0,00 %","1,10"
20220917,1.299,1.426,"47,12 %","4,70",00:03:05,"1,33 %",19,"0,00 %","1,10"
20221022,1.294,1.414,"44,48 %","4,87",00:03:07,"1,98 %",28,"0,00 %","1,09"
20220312,1.284,1.412,"51,49 %","4,39",00:02:45,"1,84 %",26,"0,00 %","1,10"
20220904,1.274,1.38,"50,94 %","3,80",00:02:48,"0,87 %",12,"0,00 %","1,08"
20220820,1.254,1.363,"47,25 %","4,87",00:03:17,"2,05 %",28,"0,00 %","1,09"
20220903,1.248,1.347,"49,81 %","4,75",00:03:14,"1,71 %",23,"0,00 %","1,08"
20220910,1.217,1.335,"48,91 %","4,87",00:02:56,"1,65 %",22,"0,00 %","1,10"
20211225,1.208,1.287,"48,41 %","4,47",00:02:41,"1,48 %",19,"0,00 %","1,07"
20211224,1.17,1.248,"47,36 %","4,75",00:02:38,"2,64 %",33,"0,00 %","1,07"
20220101,1.082,1.176,"53,49 %","4,07",00:02:10,"1,02 %",12,"0,00 %","1,09"
20211231,1,1.085,"51,43 %","4,15",00:02:22,"1,57 %",17,"0,00 %","1,08"
